PC1,PC2,Subject,Class
6.35901273391771,-0.2746107870955151,s0138,normal
-0.03892951333097698,7.943516723808644,s0139,normal
4.0874787101963905,0.408990153795741,s0140,normal
-1.5105465380356655,-6.087772241259089,s0141,normal
-66.55760020903165,-12.943520703686314,s0143,normal
0.6778047291414997,0.041604879250005486,s0144,normal
9.898309502604471,-1.5368549211068845,s0145,normal
17.928534881130282,-11.263166919786592,s0146,normal
15.333698140652603,-20.261678767676432,s0147,delayed
7.618559373991695,-8.6679914775797,s0148,normal
10.866455797117837,-9.091057024782819,s0149,normal
6.280809508027528,1.0886015023073798,s0150,normal
-8.594016999814476,13.44779228075662,s0151,normal
-7.78297777191541,4.780675249270273,s0152,normal
-13.988739632836754,-30.061505362876876,s0153,normal
-14.39361420025933,-4.199237519792347,s0154,normal
6.131627998811134,-9.906041438205001,s0155,normal
-30.14132539827515,7.44596232258305,s0156,normal
-21.565954103780886,-24.504665929741055,s0157,normal
-0.4661587629663204,-0.06487694413901492,s0158,normal
3.089035574431246,3.900211388160225,s0159,normal
-6.073569178995894,-0.23278016970019183,s0160,delayed
-2.9372281776134557,6.366419597160772,s0161,normal
-2.0261854189092223,-0.20225110744991864,s0163,normal
-4.18468305260398,0.251100146975514,s0164,normal
-1.843821709586463,-15.736444522841687,s0165,normal
3.4523942300546695,-10.19996145836646,s0166,normal
11.076465718792049,-4.559888942348858,s0167,normal
-6.868666945277622,0.30038911066634877,s0168,normal
2.335895768392433,-17.130259467285573,s0169,normal
-7.301184277347892,13.0170320141443,s0170,normal
-7.719813135642468,6.356858374729518,s0171,normal
3.409147424477002,-2.3602086747694124,s0172,normal
9.411727331620225,-12.44202559508903,s0173,normal
-4.474584060395342,11.90023130983418,s0174,normal
-4.185670095625848,3.5167861560157325,s0176,normal
-10.213490575161966,-11.495993425566223,s0177,normal
5.438469230110568,2.201994779785146,s0179,normal
-4.793233456617899,-3.220354557336041,s0180,normal
-0.7123745971170329,4.785579009645016,s0181,normal
-6.1340538920013365,5.388057992343166,s0182,normal
6.56690126318079,-1.143234858289608,s0183,normal
-3.471537134801725,4.432204027671632,s0184,normal
2.368937631498137,5.068955354837808,s0185,normal
-6.103435192135426,-23.406628682079653,s0186,normal
-26.409102080782432,-17.752928826275557,s0187,normal
-3.008701932516966,7.091618165968767,s0188,normal
-0.9087815316796134,-11.803311842605915,s0189,normal
-14.210485122011368,-2.930791982532518,s0190,normal
9.174241740893047,0.7437535683301106,s0191,normal
2.1251773876301705,3.7897172620910067,s0192,normal
-19.722024951478634,0.8114259041269174,s0193,normal
-3.244183810157365,2.284010772228012,s0194,normal
-8.070763732643739,-6.230466028533884,s0195,normal
-22.34663500432177,-9.969006633851496,s0196,normal
-17.616773107427267,10.66433935341884,s0198,normal
-6.590448223459515,8.196435342095905,s0199,normal
3.121009194824795,7.862779508709506,s0200,normal
6.939887681520594,-6.287310583915987,s0201,normal
-1.775235547876298,8.391218871888537,s0202,normal
8.335466075621051,2.18194370034699,s0203,normal
-1.5856825376038965,2.3381579484454478,s0204,normal
