Feature,Normal_Mean,Delayed_Mean,Normal_Median,Delayed_Median,Normal_STD,Delayed_STD,Mean_Difference,Relative_Difference,Standardized_Difference
RAD_squareroot_firstorder_90Percentile,175.93374789247218,198.09613712442692,180.29087739929741,198.09613712442692,36.15960813259484,34.96592184251742,22.162389231954734,0.12597008531579415,0.6231030894079169
RAD_wavelet-H_firstorder_Variance,1.9298583889417853,3.916423524141963,1.4650053573631228,3.916423524141963,1.462905943878863,4.292232456927551,1.9865651352001779,1.029383889761232,0.6195421218175831
RAD_lbp-2D_firstorder_Range,8.868421052631579,8.5,9.0,8.5,0.4583760517800281,0.7071067811865476,-0.36842105263157876,-0.04154302670576299,0.6182968717952778
RAD_wavelet-L_glcm_Idmn,0.9991547414087268,0.9987840333057387,0.9992597623105598,0.9987840333057387,0.0005974978812528811,0.0006246278301623249,-0.0003707081029881154,-0.00037102171224083366,0.6065117389215344
RAD_firstorder_Skewness,-0.0665728970451645,-0.2795487845444199,-0.10084210416162004,-0.2795487845444199,0.428606154201287,0.2655834070892662,-0.2129758874992554,-3.1991380371332516,0.5973452153228533
RAD_wavelet-L_firstorder_Skewness,-0.06661611477805499,-0.2793723014343361,-0.1008770610988268,-0.2793723014343361,0.4285973243111152,0.2658311763030954,-0.21275618665628113,-3.193764557506015,0.5965834231458854
RAD_exponential_firstorder_90Percentile,19.034733484681375,30.737096716137792,13.6867913203338,30.737096716137792,21.106806262067177,18.35595171787487,11.702363231456417,0.6147899701780787,0.5916481894606365
RAD_exponential_glcm_Idmn,0.9986715508729306,0.9980804404481642,0.9988392968535262,0.9980804404481642,0.0009586506587039442,0.0010422569226265983,-0.000591110424766339,-0.0005918967294006369,0.5903271996551023
RAD_wavelet-L_glcm_Autocorrelation,224.33803385657083,195.56762520963412,230.3447250818835,195.56762520963412,68.41942279470955,9.609303451267635,-28.770408646936716,-0.12824579119436377,0.5888979081432156
RAD_exponential_glcm_Idn,0.9967806224412094,0.9952011011204108,0.9973442361905465,0.9952011011204108,0.00285734585173433,0.0026056423065662993,-0.001579521320798527,-0.0015846228197852288,0.5776499603158142
RAD_square_glcm_Autocorrelation,9.082456630767892,6.824670096923792,7.728981142691479,6.824670096923792,5.142628555662534,2.3384138226238074,-2.2577865338441,-0.24858764821080712,0.5651994889767662
RAD_wavelet-H_glcm_ClusterTendency,0.7257081828423048,0.7781248164438742,0.7338380372633097,0.7781248164438742,0.07728325050240847,0.11005054554000271,0.05241663360156945,0.07222825211788562,0.5512378052102848
RAD_wavelet-L_glcm_ClusterShade,-70.51923589831091,-319.49603196557973,-124.90124241715546,-319.49603196557973,630.4784711275049,104.65713407171391,-248.97679606726882,-3.5306224308207415,0.5509359545950937
RAD_squareroot_glcm_Idn,0.9808140024046308,0.976918613953031,0.980962796721019,0.976918613953031,0.005343802666314521,0.00852681462913186,-0.0038953884515997572,-0.003971587315895162,0.5474454061684654
RAD_exponential_firstorder_TotalEnergy,2107073.8691682094,424546.46374187456,1152425.5460685203,424546.46374187456,4334415.136777801,324409.08180321706,-1682527.4054263348,-0.7985137256201327,0.5474363439312541
RAD_exponential_firstorder_Energy,2107073.8691682094,424546.46374187456,1152425.5460685203,424546.46374187456,4334415.136777801,324409.08180321706,-1682527.4054263348,-0.7985137256201327,0.5474363439312541
RAD_wavelet-H_firstorder_Median,0.01385831812593513,-0.03530175347199791,2.6201263381153698e-14,-0.03530175347199791,0.11793212678003373,0.04992421853565345,-0.04916007159793304,-3.5473331465236884,0.542875318708278
RAD_square_glcm_InverseVariance,0.13787607500964535,0.11429527506357909,0.12902645993929318,0.11429527506357909,0.05310585827368082,0.03224618931204076,-0.023580799946066267,-0.17102894702589796,0.5367562721573726
RAD_wavelet-L_glcm_Idn,0.9838746138014571,0.9807271063137717,0.984780051356511,0.9807271063137717,0.005209616593135571,0.006545110316924394,-0.0031475074876854414,-0.0031990941154628563,0.5321073100457288
RAD_squareroot_glcm_DifferenceVariance,0.5455920328832625,0.7427564244092061,0.5292212096635667,0.7427564244092061,0.1912253624357704,0.4908290488654447,0.19716439152594356,0.3613769622841837,0.5293310954784867
RAD_wavelet-H_glcm_Imc1,-0.18162688177005726,-0.2641890140183724,-0.17360344506043096,-0.2641890140183724,0.0837460734354476,0.2050712534304583,-0.08256213224831516,-0.4545700030647623,0.527106515972442
RAD_glcm_ClusterShade,-24.67063970155405,-109.14266712227376,-42.04005037877842,-109.14266712227376,223.39444382046744,45.9375270852376,-84.47202742071971,-3.423990153569316,0.5237960514409868
RAD_wavelet-H_firstorder_RootMeanSquared,1.3192165705114578,1.7883133918149234,1.2131176610522434,1.7883133918149234,0.4514879030052324,1.201377633894629,0.46909682130346564,0.3555874234402915,0.5169052849391241
RAD_squareroot_glcm_Contrast,0.721257583227424,0.9892511830056611,0.6964039241515505,0.9892511830056611,0.270264927449216,0.6833969046151767,0.2679935997782371,0.371564342577703,0.5157183684349336
RAD_wavelet-L_glcm_ClusterProminence,41125.999734752106,30324.7572451648,35870.21250345626,30324.7572451648,26081.834808633736,14074.329785211252,-10801.242489587305,-0.2626378096399213,0.515412790197352
RAD_square_firstorder_RootMeanSquared,62.73202824513271,54.22042267438927,60.005896526303246,54.22042267438927,20.48175526268554,11.385522474495671,-8.511605570743441,-0.13568197631789908,0.5136744273080703
RAD_squareroot_glcm_SumAverage,20.766631648004363,22.13747372192084,21.183420459254464,22.13747372192084,3.837894194868219,0.22661940836420108,1.370842073916478,0.06601176816470437,0.5042589627373637
RAD_squareroot_glcm_JointAverage,10.383315824002182,11.06873686096042,10.59171022962723,11.06873686096042,1.9189470974341092,0.11330970418210556,0.685421036958239,0.0660117681643865,0.5042589627373637
RAD_glcm_Autocorrelation,117.37646038782952,104.82661270638627,123.87847030905851,104.82661270638627,34.966467593141786,4.93867823824484,-12.549847681443254,-0.1069196297108123,0.5025884393269163
RAD_glcm_Idmn,0.9989453171191811,0.9985917481567903,0.9990820592761536,0.9985917481567903,0.0006966249895438448,0.0007156202374919666,-0.0003535689623908045,-0.0003539422591969837,0.5006736469788235
RAD_exponential_glcm_DifferenceEntropy,0.09666628684540145,0.13476551337118514,0.07534727185614484,0.13476551337118514,0.09056674575594548,0.0595361782844115,0.038099226525783694,0.394131477785039,0.4971296536909752
RAD_wavelet-H_glcm_DifferenceEntropy,0.8123811091396191,0.7355263463116295,0.8201667060343973,0.7355263463116295,0.08998291222817288,0.20542405820747808,-0.07685476282798964,-0.09460432050164849,0.4846399355183498
RAD_glcm_ClusterProminence,10330.032505905952,7777.764452670564,8956.362978820212,7777.764452670564,6511.8237769981015,3664.861961836279,-2552.268053235388,-0.24707260618746013,0.48304521069419776
RAD_wavelet-H_glcm_Correlation,0.47261182355831205,0.5578192597671051,0.4796897477632146,0.5578192597671051,0.11926554482900514,0.2221077085787254,0.08520743620879306,0.18029053007864687,0.47798455223049746
