Feature,Normal_N,Delayed_N,Normal_Mean,Delayed_Mean,U,P_Value,Effect_Size,Adjusted_P,Significant,Absolute_Effect_Size
wavelet-L_glcm_ClusterTendency,190,12,124.53187995638083,36.44278275648142,2074.0,2.001850897633953e-06,0.8192982456140352,6.3558765999878e-06,True,0.8192982456140352
square_glcm_Contrast,190,12,0.1431021222459374,0.8972363802751248,206.0,2.001850897633953e-06,-0.8192982456140351,6.3558765999878e-06,True,0.8192982456140351
square_firstorder_10Percentile,190,12,1.4383701326134894,20.771803320413515,207.0,2.05290307252977e-06,-0.8184210526315789,6.464099757304482e-06,True,0.8184210526315789
glcm_ClusterTendency,190,12,62.38111989877816,18.439364347059968,2072.0,2.1052045654550605e-06,0.8175438596491229,6.52099950762909e-06,True,0.8175438596491229
lbp-2D_firstorder_MeanAbsoluteDeviation,190,12,0.8389413313294923,1.918744120496944,208.0,2.1052045654550605e-06,-0.8175438596491228,6.52099950762909e-06,True,0.8175438596491228
squareroot_glcm_ClusterTendency,190,12,127.82279459263091,34.79348903446397,2070.0,2.2136728851917664e-06,0.8157894736842106,6.801688461758573e-06,True,0.8157894736842106
logarithm_firstorder_Range,190,12,499.6984245371259,302.69202480053127,2068.0,2.3274971601307086e-06,0.8140350877192983,7.037908079442857e-06,True,0.8140350877192983
squareroot_glcm_ClusterProminence,190,12,30161.113262095165,7607.34923775585,2068.0,2.3274971601307086e-06,0.8140350877192983,7.037908079442857e-06,True,0.8140350877192983
wavelet-L_glcm_SumSquares,190,12,31.25280306093978,9.86489673304205,2067.0,2.3864961226463125e-06,0.8131578947368421,7.159488367938937e-06,True,0.8131578947368421
CentroidX,190,12,97.26315789473684,44.833333333333336,2065.5,2.4694529868983968e-06,0.8118421052631579,7.350481156314759e-06,True,0.8118421052631579
squareroot_glcm_MaximumProbability,190,12,0.1111802806565791,0.3226362135710364,215.0,2.5087883107591738e-06,-0.8114035087719298,7.352803150368507e-06,True,0.8114035087719298
square_glcm_DifferenceEntropy,190,12,0.5725435485052108,1.2463826912308615,215.0,2.5088304712543463e-06,-0.8114035087719298,7.352803150368507e-06,True,0.8114035087719298
square_glcm_DifferenceAverage,190,12,0.1402592857323453,0.6093445749744514,217.0,2.637172173637001e-06,-0.8096491228070175,7.554606001170657e-06,True,0.8096491228070175
squareroot_firstorder_MeanAbsoluteDeviation,190,12,125.42784563458947,52.36095765443488,2063.0,2.637172173637001e-06,0.8096491228070175,7.554606001170657e-06,True,0.8096491228070175
logarithm_glcm_Imc1,190,12,-0.675985703538768,-0.293141172835141,217.0,2.637172173637001e-06,-0.8096491228070175,7.554606001170657e-06,True,0.8096491228070175
logarithm_glcm_SumSquares,190,12,57.15250189439116,16.30362179749575,2062.0,2.703683126027754e-06,0.8087719298245615,7.68733784340727e-06,True,0.8087719298245615
lbp-2D_firstorder_RobustMeanAbsoluteDeviation,190,12,0.4879767571130178,1.5452516177020197,219.0,2.771802264308932e-06,-0.8078947368421052,7.733120708223004e-06,True,0.8078947368421052
squareroot_glcm_SumSquares,190,12,32.13601304396459,9.656925940310355,2061.0,2.771802264308932e-06,0.8078947368421052,7.733120708223004e-06,True,0.8078947368421052
logarithm_firstorder_InterquartileRange,190,12,360.6491360055004,82.43951570844133,2060.0,2.8415666644388992e-06,0.8070175438596492,7.733120708223004e-06,True,0.8070175438596492
squareroot_firstorder_RobustMeanAbsoluteDeviation,190,12,104.55533108712706,33.60076987797206,2060.0,2.8415666644388992e-06,0.8070175438596492,7.733120708223004e-06,True,0.8070175438596492
square_glcm_Idm,190,12,0.9301546407851866,0.7231865542787715,2060.0,2.8415666644388992e-06,0.8070175438596492,7.733120708223004e-06,True,0.8070175438596492
logarithm_firstorder_Variance,190,12,35747.71092398467,11515.414794125383,2060.0,2.8415666644388992e-06,0.8070175438596492,7.733120708223004e-06,True,0.8070175438596492
logarithm_firstorder_RobustMeanAbsoluteDeviation,190,12,155.4832067209032,40.24102131919344,2059.0,2.9130142115188656e-06,0.8061403508771929,7.81990485116258e-06,True,0.8061403508771929
gradient_firstorder_Entropy,190,12,0.9548540050465836,1.8229292476985337,221.5,2.9493567818354992e-06,-0.8057017543859649,7.81990485116258e-06,True,0.8057017543859649
logarithm_firstorder_Kurtosis,190,12,1.7694487907695458,7.978627946230946,222.0,2.9861836163430223e-06,-0.8052631578947369,7.81990485116258e-06,True,0.8052631578947369
squareroot_firstorder_Variance,190,12,20074.49811877909,6855.721305861144,2058.0,2.9861836163430223e-06,0.8052631578947369,7.81990485116258e-06,True,0.8052631578947369
gradient_glcm_SumAverage,190,12,2.5901235559369784,4.08334011908369,222.5,3.0234013334501457e-06,-0.8048245614035088,7.81990485116258e-06,True,0.8048245614035088
gradient_glcm_JointAverage,190,12,1.2950617779684892,2.041670059541845,222.5,3.0234013334501457e-06,-0.8048245614035088,7.81990485116258e-06,True,0.8048245614035088
gradient_glcm_Autocorrelation,190,12,2.0034919571207896,5.416893944098814,222.5,3.0234013334501457e-06,-0.8048245614035088,7.81990485116258e-06,True,0.8048245614035088
square_glcm_Imc1,190,12,-0.7025909184447066,-0.2945993170647643,223.0,3.061114432261081e-06,-0.8043859649122806,7.81990485116258e-06,True,0.8043859649122806
gradient_firstorder_RootMeanSquared,190,12,23.525739623931813,50.7994123922112,223.0,3.061114432261081e-06,-0.8043859649122806,7.81990485116258e-06,True,0.8043859649122806
gradient_glcm_SumEntropy,190,12,1.1915021936588075,2.3023272601953844,223.5,3.0992273819568237e-06,-0.8039473684210526,7.81990485116258e-06,True,0.8039473684210526
gradient_firstorder_Uniformity,190,12,0.6325825137989249,0.3649703731305493,2056.5,3.0992273819568237e-06,0.8039473684210525,7.81990485116258e-06,True,0.8039473684210525
